sport,team,elo,games,wins,losses,ties,win_pct
5v5 Basketball,Delta Chi,1009.3,4,2,2,0,0.5
5v5 Basketball,ADPi,1009.0,4,2,2,0,0.5
5v5 Basketball,Wet banana,1009.0,4,2,2,0,0.5
5v5 Basketball,Qiths,1002.3,4,2,2,0,0.5
5v5 Basketball,SAE Xi,1000.4,2,1,1,0,0.5
5v5 Basketball,Blacklung,995.5,2,1,1,0,0.5
5v5 Basketball,KA B,993.1,3,1,2,0,0.333
5v5 Basketball,Catholic Center,992.8,2,1,1,0,0.5
5v5 Basketball,Tune Squad,990.5,2,1,1,0,0.5
5v5 Basketball,Om Patel’s honourable team,985.8,4,2,2,0,0.5
5v5 Basketball,Fried chicken,983.1,4,1,2,1,0.375
5v5 Basketball,Phi delt A,976.7,4,2,2,0,0.5
5v5 Basketball,Poka,970.2,4,2,2,0,0.5
5v5 Basketball,TKE,967.3,3,1,2,0,0.333
5v5 Basketball,sportsball,967.0,4,2,2,0,0.5
5v5 Basketball,Pooslingerz,966.5,4,2,2,0,0.5
5v5 Basketball,Dream Team,961.3,4,1,2,1,0.375
5v5 Basketball,Magic City Ballers,956.8,3,1,2,0,0.333
5v5 Basketball,ASCE,954.6,4,1,2,1,0.375
5v5 Basketball,Tribeck,954.2,1,0,1,0,0.0
5v5 Basketball,We are good at this!,948.3,1,0,1,0,0.0
5v5 Basketball,ATO A,939.8,4,1,3,0,0.25
5v5 Basketball,Old Foresters,939.6,7,3,4,0,0.429
5v5 Basketball,WAHO,936.4,4,1,3,0,0.25
5v5 Basketball,AFC,928.7,4,2,2,0,0.5
5v5 Basketball,LinkedIn,928.6,1,0,1,0,0.0
5v5 Basketball,TKE A,922.4,3,1,2,0,0.333
5v5 Basketball,rz,922.1,4,1,3,0,0.25
5v5 Basketball,C Men,919.5,3,1,2,0,0.333
5v5 Basketball,Phi Tau,917.6,3,1,2,0,0.333
5v5 Basketball,Sigma Chi 25,911.9,1,0,1,0,0.0
5v5 Basketball,Fiji B,908.7,3,1,2,0,0.333
5v5 Basketball,Sportsball,908.2,4,1,3,0,0.25
5v5 Basketball,Phi Kappa Theta,898.0,3,1,2,0,0.333
5v5 Basketball,GTSC,897.3,4,1,3,0,0.25
5v5 Basketball,Theta Chi,895.9,3,1,2,0,0.333
5v5 Basketball,kls,895.3,4,1,3,0,0.25
5v5 Basketball,Big G n 'Em,891.9,4,1,3,0,0.25
5v5 Basketball,:),886.4,4,1,3,0,0.25
5v5 Basketball,Kappa Sigma A,877.9,2,0,2,0,0.0
5v5 Basketball,Las Nenas,875.0,1,0,1,0,0.0
5v5 Basketball,Beta P,873.5,2,0,2,0,0.0
5v5 Basketball,Kappa Sigma B,870.8,2,0,2,0,0.0
5v5 Basketball,AEPi,868.9,2,0,2,0,0.0
5v5 Basketball,The Mighty Ducks,865.0,4,1,3,0,0.25
5v5 Basketball,Pike B,864.6,2,0,2,0,0.0
5v5 Basketball,Theta Buckets C,861.8,2,0,2,0,0.0
5v5 Basketball,LeSTSL,852.9,4,1,3,0,0.25
5v5 Basketball,Phi Sig,851.8,4,1,3,0,0.25
5v5 Basketball,messiah's disciples,851.5,4,1,3,0,0.25
5v5 Basketball,Ocee Gang,851.0,2,0,2,0,0.0
5v5 Basketball,Kappa Alpha Theta,845.8,2,0,2,0,0.0
5v5 Basketball,Theta Thunder,841.2,2,0,2,0,0.0
5v5 Basketball,All day all night,836.1,3,0,3,0,0.0
5v5 Basketball,2026 Montverde,813.8,3,0,3,0,0.0
5v5 Basketball,TKE B,781.5,3,0,3,0,0.0
5v5 Basketball,Ramblin' Reck Club,775.2,3,0,3,0,0.0
5v5 Basketball,Theta Buckets B,773.8,4,0,4,0,0.0
5v5 Basketball,Ballright,767.0,4,0,4,0,0.0
5v5 Basketball,Alpha Phi,757.8,3,0,3,0,0.0
5v5 Basketball,Alpha Sig,747.3,3,0,3,0,0.0
5v5 Basketball,BasketBile,741.4,3,0,3,0,0.0
5v5 Basketball,Kinetic + Nav,731.3,4,0,4,0,0.0
5v5 Basketball,Delhi Dragons,721.5,4,0,4,0,0.0
6v6 Dodgeball,Separation,1104.0,2,2,0,0,1.0
6v6 Dodgeball,Phi Sig,1056.0,1,1,0,0,1.0
6v6 Dodgeball,Pi Kapp,1048.0,1,1,0,0,1.0
6v6 Dodgeball,Pooslingerz,1048.0,1,1,0,0,1.0
6v6 Dodgeball,Sporting Chamblee,1048.0,1,1,0,0,1.0
6v6 Dodgeball,GTSC,1037.3,1,1,0,0,1.0
6v6 Dodgeball,goblin gang,1036.3,3,2,1,0,0.667
6v6 Dodgeball,Back in Blood,956.8,3,1,2,0,0.333
6v6 Dodgeball,Delta Chi,952.0,1,0,1,0,0.0
6v6 Dodgeball,Western,952.0,1,0,1,0,0.0
6v6 Dodgeball,Y*sha,952.0,1,0,1,0,0.0
6v6 Dodgeball,Dodgers,950.9,1,0,1,0,0.0
6v6 Dodgeball,Phi Tau,944.0,1,0,1,0,0.0
6v6 Dodgeball,Qiths,914.7,2,0,2,0,0.0
Cornhole,Eternal Sunshine,1147.3,3,3,0,0,1.0
Cornhole,Bandits,1138.3,3,3,0,0,1.0
Cornhole,TKE F,1119.4,3,3,0,0,1.0
Cornhole,TKE A,1111.5,3,3,0,0,1.0
Cornhole,The Best,1080.2,2,2,0,0,1.0
Cornhole,KA A aka KA,1056.2,1,1,0,0,1.0
Cornhole,SigEp A Team,1050.0,1,1,0,0,1.0
Cornhole,Cornballers,1043.5,3,2,1,0,0.667
Cornhole,Chi Psi,1043.3,1,1,0,0,1.0
Cornhole,In Corn We Trust,1033.9,3,2,1,0,0.667
Cornhole,Beta,1016.8,2,1,1,0,0.5
Cornhole,Cornballs,1015.6,4,2,2,0,0.5
Cornhole,vatic pros,1007.1,2,1,1,0,0.5
Cornhole,Cornelius Hole-ington,1000.0,2,1,1,0,0.5
Cornhole,Green Giant,995.0,4,2,2,0,0.5
Cornhole,Shuck Norris,987.1,2,1,1,0,0.5
Cornhole,Corn Jawn,963.8,3,1,2,0,0.333
Cornhole,Pookie and Snookems,957.1,1,0,1,0,0.0
Cornhole,Theta Chi A,956.7,1,0,1,0,0.0
Cornhole,Cornpan,956.7,1,0,1,0,0.0
Cornhole,ATO A,951.9,1,0,1,0,0.0
Cornhole,pnWs,950.0,3,1,2,0,0.333
Cornhole,duh bobbb,942.9,1,0,1,0,0.0
Cornhole,KornS,918.8,2,0,2,0,0.0
Cornhole,SAE A,913.1,2,0,2,0,0.0
Cornhole,sheriffs,912.5,2,0,2,0,0.0
Cornhole,Dubois,900.0,2,0,2,0,0.0
Cornhole,SPAM MUSUBI,831.3,4,0,4,0,0.0
